Year,Geography,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Multiracial,Native Hawaiian/Other Pacific Islander,Unknown,White,Female,Male,Non-U.S.–born,U.S.-born,0-4,15-24,25-34,35-44,45-54,5-14,55-64,65+
2003,North Dakota,1,1,1,0,0,0,0,3,2,4,2,4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
2003,Ohio,1,39,90,7,1,1,0,90,87,142,79,150,5.0,17.0,30.0,33.0,28.0,7.0,24.0,85.0
2003,Oklahoma,33,16,28,18,0,0,0,68,55,108,42,120,11.0,17.0,17.0,33.0,31.0,1.0,21.0,32.0
2003,Oregon,2,36,4,33,0,3,0,29,36,71,69,38,4.0,16.0,24.0,14.0,18.0,4.0,12.0,15.0
2003,Pennsylvania,0,92,94,36,1,0,0,113,162,174,141,194,9.0,31.0,60.0,47.0,44.0,3.0,48.0,94.0
2003,Rhode Island,0,9,9,13,0,0,0,15,15,31,31,14,1.0,5.0,6.0,5.0,7.0,4.0,4.0,14.0
2003,South Carolina,3,9,168,33,0,0,0,41,90,164,39,215,12.0,25.0,32.0,42.0,58.0,6.0,34.0,45.0
2003,South Dakota,10,4,0,0,0,0,0,6,9,11,4,16,2.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0
2003,Tennessee,0,22,112,24,1,0,5,122,97,189,52,234,8.0,21.0,38.0,52.0,47.0,11.0,28.0,81.0
2003,Texas,4,164,407,775,4,1,0,224,529,"1,050",709,870,76.0,153.0,255.0,290.0,337.0,36.0,188.0,244.0
2003,Utah,1,9,8,13,0,1,0,7,16,23,28,11,2.0,5.0,7.0,3.0,6.0,5.0,3.0,8.0
2003,Vermont,0,4,3,0,0,0,0,1,5,3,7,1,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0
2003,Virginia,0,104,98,63,1,0,11,55,135,195,207,125,16.0,49.0,70.0,46.0,53.0,4.0,33.0,61.0
2003,Washington,17,102,35,40,0,7,0,49,94,156,160,90,3.0,28.0,39.0,47.0,57.0,6.0,26.0,44.0
2003,West Virginia,0,1,2,1,0,0,0,17,6,15,2,19,0.0,0.0,2.0,0.0,4.0,0.0,6.0,9.0
2003,Wisconsin,2,24,11,12,0,0,0,17,34,32,36,30,2.0,12.0,13.0,6.0,8.0,0.0,7.0,18.0
2003,Wyoming,1,0,0,1,0,0,0,2,1,3,1,3,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
